Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;09:51:05;0;0;45;0;1;323;0;0;0;1
OPEN;19/06/2025;09:51:35;0;0;0;22;1;275;0;0;0;1
OPEN;19/06/2025;09:52:05;0;0;0;31;1;307;0;0;0;1
OPEN;19/06/2025;09:52:35;0;0;50;0;1;322;0;0;0;1
OPEN;19/06/2025;09:53:05;0;0;96;0;1;275;0;0;0;1
OPEN;19/06/2025;09:53:35;0;0;88;0;1;305;0;0;0;1
OPEN;19/06/2025;09:54:05;0;0;34;0;1;288;0;0;0;1
OPEN;19/06/2025;09:54:35;0;0;0;35;1;306;0;0;0;1
OPEN;19/06/2025;09:55:05;0;0;0;27;1;313;0;0;0;1
OPEN;19/06/2025;09:55:35;0;0;63;0;1;261;0;0;0;1
OPEN;19/06/2025;09:56:05;0;0;92;0;1;284;0;0;0;1
OPEN;19/06/2025;09:56:35;0;0;71;0;1;273;0;0;0;1
OPEN;19/06/2025;09:57:05;0;0;19;0;1;280;0;0;0;1
OPEN;19/06/2025;09:57:35;0;0;0;40;1;311;0;0;0;1
OPEN;19/06/2025;09:58:05;0;0;0;14;1;300;0;0;0;1
OPEN;19/06/2025;09:58:35;0;0;75;0;1;264;0;0;0;1
OPEN;19/06/2025;09:59:05;0;0;88;0;1;286;0;0;0;1
OPEN;19/06/2025;09:59:35;0;0;63;0;1;283;0;0;0;1
