Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;09:59:35;0;0;12;12;1;5,2554092;1;1;11,9;0
OPEN;19/06/2025;09:59:43;0;0;12;12;1;6,0417423;1;1;12,1;0
OPEN;19/06/2025;10:00:05;0;0;12;12;0;6,0417423;1;1;12,1;0
OPEN;19/06/2025;10:00:35;0;0;12;12;0;6,372139;1;1;12,3;0
OPEN;19/06/2025;10:00:57;0;0;12;12;0;5,2365241;1;1;12,4;0
OPEN;19/06/2025;10:01:05;0;0;12;12;1;5,2365241;1;1;12,4;0
OPEN;19/06/2025;10:01:35;0;0;12;12;1;4,4387226;1;1;12,2;0
OPEN;19/06/2025;10:02:05;0;0;12;12;1;4,7471781;1;1;12;0
OPEN;19/06/2025;10:02:35;0;0;12;12;1;5,4093475;1;1;11,9;0
OPEN;19/06/2025;10:02:38;0;0;12;12;1;6,1228781;1;1;12,1;0
OPEN;19/06/2025;10:03:05;0;0;12;12;0;6,1228781;1;1;12,1;0
OPEN;19/06/2025;10:03:35;0;0;12;12;0;6,1419644;1;1;12,4;0
OPEN;19/06/2025;10:03:52;0;0;12;12;0;5,0475035;1;1;12,3;0
OPEN;19/06/2025;10:04:05;0;0;12;12;1;5,0475035;1;1;12,3;0
OPEN;19/06/2025;10:04:35;0;0;12;12;1;4,4688845;1;1;12,1;0
OPEN;19/06/2025;10:05:05;0;0;12;12;1;4,8901434;1;1;11,9;0
OPEN;19/06/2025;10:05:33;0;0;12;12;1;5,5195775;1;1;11,9;0
OPEN;19/06/2025;10:05:35;0;0;12;12;0;5,5195775;1;1;11,9;0
OPEN;19/06/2025;10:06:05;0;0;12;12;0;6,2463989;1;1;12,2;0
OPEN;19/06/2025;10:06:35;0;0;12;12;0;6,0079741;1;1;12,4;0
OPEN;19/06/2025;10:06:48;0;0;12;12;0;4,7486634;1;1;12,4;0
OPEN;19/06/2025;10:07:05;0;0;12;12;1;4,7486634;1;1;12,4;0
OPEN;19/06/2025;10:07:35;0;0;12;12;1;4,6241298;1;1;12,1;0
OPEN;19/06/2025;10:08:05;0;0;12;12;1;5,2299833;1;1;12;0
OPEN;19/06/2025;10:08:17;0;0;12;12;1;5,7179165;1;1;12,1;0
OPEN;19/06/2025;10:08:35;0;0;12;12;0;5,7179165;1;1;12,1;0
OPEN;19/06/2025;10:09:05;0;0;12;12;0;6,2359567;1;1;12,3;0
OPEN;19/06/2025;10:09:35;0;0;12;12;0;5,6685638;1;1;12,4;0
OPEN;19/06/2025;10:09:37;0;0;12;12;0;4,4510989;1;1;12,3;0
OPEN;19/06/2025;10:10:05;0;0;12;12;1;4,4510989;1;1;12,3;0
OPEN;19/06/2025;10:10:35;0;0;12;12;1;4,5310373;1;1;12;0
OPEN;19/06/2025;10:11:05;0;0;12;12;1;5,0702071;1;1;11,9;0
OPEN;19/06/2025;10:11:18;0;0;12;12;1;5,9218359;1;1;12;0
OPEN;19/06/2025;10:11:35;0;0;12;12;0;5,9218359;1;1;12;0
OPEN;19/06/2025;10:12:06;0;0;12;12;0;6,2774854;1;1;12,3;0
OPEN;19/06/2025;10:12:32;0;0;12;12;0;5,3783889;1;1;12,4;0
OPEN;19/06/2025;10:12:36;0;0;12;12;1;5,3783889;1;1;12,4;0
OPEN;19/06/2025;10:13:06;0;0;12;12;1;4,4211049;1;1;12,2;0
OPEN;19/06/2025;10:13:36;0;0;12;12;1;4,6700354;1;1;12;0
OPEN;19/06/2025;10:14:06;0;0;12;12;1;5,2554092;1;1;11,9;0
OPEN;19/06/2025;10:14:13;0;0;12;12;1;5,9918847;1;1;12,1;0
OPEN;19/06/2025;10:14:36;0;0;12;12;0;5,9918847;1;1;12,1;0
OPEN;19/06/2025;10:15:06;0;0;12;12;0;6,2240005;1;1;12,3;0
OPEN;19/06/2025;10:15:28;0;0;12;12;0;5,0634375;1;1;12,4;0
OPEN;19/06/2025;10:15:36;0;0;12;12;1;5,0634375;1;1;12,4;0
OPEN;19/06/2025;10:16:06;0;0;12;12;1;4,4387226;1;1;12,1;0
OPEN;19/06/2025;10:16:36;0;0;12;12;1;5,2877069;1;1;12,1;0
OPEN;19/06/2025;10:16:47;0;0;12;12;1;5,8661084;1;1;12,2;0
OPEN;19/06/2025;10:17:06;0;0;12;12;0;5,8661084;1;1;12,2;0
OPEN;19/06/2025;10:17:36;0;0;12;12;0;6,6689243;1;1;12,4;0
OPEN;19/06/2025;10:18:06;0;0;12;12;0;6,4240274;1;1;12,6;0
OPEN;19/06/2025;10:18:33;0;0;12;12;0;5,2665629;1;1;12,5;0
OPEN;19/06/2025;10:18:36;0;0;12;12;1;5,2665629;1;1;12,5;0
OPEN;19/06/2025;10:19:06;0;0;12;12;1;5,0125794;1;1;12,3;0
OPEN;19/06/2025;10:19:36;0;0;12;12;1;5,4329429;1;1;12,3;0
OPEN;19/06/2025;10:19:42;0;0;12;12;1;6,0668507;1;1;12,4;0
OPEN;19/06/2025;10:20:06;0;0;12;12;0;6,0668507;1;1;12,4;0
OPEN;19/06/2025;10:20:36;0;0;12;12;0;6,617744;1;1;12,6;0
OPEN;19/06/2025;10:21:06;0;0;12;12;0;5,9807782;1;1;12,7;0
OPEN;19/06/2025;10:21:17;0;0;12;12;0;5,0241556;1;1;12,5;0
OPEN;19/06/2025;10:21:36;0;0;12;12;1;5,0241556;1;1;12,5;0
OPEN;19/06/2025;10:22:06;0;0;12;12;1;5,0559373;1;1;12,3;0
OPEN;19/06/2025;10:22:28;0;0;12;12;1;5,6297803;1;1;12,3;0
OPEN;19/06/2025;10:22:36;0;0;12;12;0;5,6297803;1;1;12,3;0
OPEN;19/06/2025;10:23:06;0;0;12;12;0;6,1856918;1;1;12,4;0
OPEN;19/06/2025;10:23:36;0;0;12;12;0;6,6562715;1;1;12,6;0
OPEN;19/06/2025;10:24:06;0;0;12;12;0;5,6077275;1;1;12,6;0
OPEN;19/06/2025;10:24:07;0;0;12;12;0;4,9233446;1;1;12,4;0
OPEN;19/06/2025;10:24:36;0;0;12;12;1;4,9233446;1;1;12,4;0
OPEN;19/06/2025;10:25:06;0;0;12;12;1;5,2458797;1;1;12,3;0
OPEN;19/06/2025;10:25:23;0;0;12;12;1;5,6194792;1;1;12,3;0
OPEN;19/06/2025;10:25:36;0;0;12;12;0;5,6194792;1;1;12,3;0
OPEN;19/06/2025;10:26:06;0;0;12;12;0;6,4436731;1;1;12,5;0
OPEN;19/06/2025;10:26:36;0;0;12;12;0;6,3299785;1;1;12,7;0
OPEN;19/06/2025;10:27:03;0;0;12;12;0;5,2665629;1;1;12,6;0
OPEN;19/06/2025;10:27:06;0;0;12;12;1;5,2665629;1;1;12,6;0
OPEN;19/06/2025;10:27:36;0;0;12;12;1;4,9787192;1;1;12,3;0
OPEN;19/06/2025;10:28:06;0;0;12;12;1;5,3963027;1;1;12,2;0
OPEN;19/06/2025;10:28:18;0;0;12;12;1;5,7727966;1;1;12,3;0
OPEN;19/06/2025;10:28:36;0;0;12;12;0;5,7727966;1;1;12,3;0
OPEN;19/06/2025;10:29:06;0;0;12;12;0;6,6619158;1;1;12,5;0
OPEN;19/06/2025;10:29:36;0;0;12;12;0;6,1128364;1;1;12,6;0
OPEN;19/06/2025;10:29:52;0;0;12;12;0;4,9772372;1;1;12,5;0
OPEN;19/06/2025;10:30:06;0;0;12;12;1;4,9772372;1;1;12,5;0
OPEN;19/06/2025;10:30:36;0;0;12;12;1;4,9348507;1;1;12,3;0
