Breaks,Date,Time,BP [R],HP [R],O2 [R],CO2 [R],O2_MMOL [R],POIDS_1 [R],POIDS_2 [R],POIDS_3 [R],CO2_MMOL [R],DEFAUT_BP [B],Breaks.1,DEFAUT_HP [B],A_SECONDES [I],IRRADIANCE [I],REARMEMENT [B],ARU_CELLULE [B],CONSIGNE_O2 [I],Etat_Mesure [B],POIDS_TOTAL [I],BALLON_CHAUD [R],BALLON_FROID [R],Breaks.2,CONSIGNE_CO2 [I],MA_VARIATEUR [B],COMPRESSEUR_1 [B],COMPRESSEUR_2 [B],POMPE_INF_ECO [B],POMPE_SUP_ECO [B],PPM_O2_HUMIDE [R],V2V_AIR_VICIE [B],V2V_EAU_PLUIE [I],HAUTEUR_ECOLUX [I],Breaks.3,HUMIDIFICATEUR [I],POMPE_FOND_ECO [B],PPM_CO2_HUMIDE [I],V2V_DESHUMIDIF [B],VANNE_PROP_INF [I],VANNE_PROP_SUP [I],FERMETURE_PORTE [B],MOLE_O2_DERIVEE [R],POMPE_UTA_CHAUD [B],POMPE_UTA_FROID [B],Breaks.4,V2V_CAPTAGE_CO2 [B],VANNE_PROP_FOND [I],VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],VENTILATEUR_CTA [B],MOLE_CO2_DERIVEE [R],ORIGINE_COLONNES [B],V2V_INJECTION_N2 [B],V2V_INJECTION_O2 [B],V2V_INJ_AIR_NEUF [B],Breaks.5,VIDANGE_CANIVEAU [B],CONSIGNE_ROTATION [I],CONSIGNE_TEMP_INF [R],CONSIGNE_TEMP_SUP [R],DESHUMIDIFICATEUR [B],POIDS_EAU_CELLULE [R],POMPE_GENER_CHAUD [B],POMPE_GENER_FROID [B],TEMPERATURE_SONDE [R],V2V_ABSORBTION_O2 [B],Breaks.6,V2V_CHAUD_INF_ECO [B],V2V_CHAUD_SUP_ECO [B],V2V_FROID_INF_ECO [B],V2V_FROID_SUP_ECO [B],V2V_INJECTION_CO2 [B],CONSIGNE_ECLAIRAGE [I],CONSIGNE_TEMP_FOND [R],POIDS_EAU_CONSIGNE [R],PRESSION_EXTERIEUR [R],PRESSION_O2_HUMIDE [R],Breaks.7,V2V_ABSORBTION_CO2 [B],V2V_CHAUD_FOND_ECO [B],V2V_FROID_FOND_ECO [B],HYGROMETRIE_CELLULE [R],PRESSION_CO2_HUMIDE [R],SURPRESSION_CEL_EXT [R],TEMPERATURE_MOY_INF [R],TEMPERATURE_MOY_SUP [R],TEMPERATURE_REPRISE [R],V2V_CIRCULATION_AIR [B],Breaks.8,V2V_CONDENS_UTA_EXT [B],V2V_CONDENS_UTA_INT [B],CONSIGNE_VENTILATION [I],HYGROMETRIE_CONSIGNE [I],TEMPERATURE_CONSIGNE [R],TEMPERATURE_MOY_FOND [R],V2V_LESSIVAT_ECORIUM [B],V2V_VIDANGE_CANIVEAU [B],VIDANGE_EAU_DE_PLUIE [B],HYGROMETRIE_SOUFFLAGE [R],TEMPERATURE_SOUFFLAGE [R],V2V_CONDENSAT_UTA_EXT [B],V2V_CONDENSAT_UTA_INT [B],Breaks.9,VENTILATEUR_TEMPETE_1 [B],VENTILATEUR_TEMPETE_2 [B],VENTILATEUR_TEMPETE_3 [B],VENTILATEUR_TEMPETE_4 [B],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],TEMP_ENTREE_INF_ECORIUM [R],TEMP_ENTREE_SUP_ECORIUM [R],TEMP_SORTIE_INF_ECORIUM [R],TEMP_SORTIE_SUP_ECORIUM [R],TEMPERATURE_RETOUR_CHAUD [R],TEMPERATURE_RETOUR_FROID [R],TEMP_ENTREE_FOND_ECORIUM [R],TEMP_SORTIE_FOND_ECORIUM [R]
nan,,,-10.694483,45.274502,225400.0,549.0,12345.0,-10.6666666666667,3.33333333333333,-7.0,301.0,1.0,,1.0,516205.0,30.0,0.0,1.0,210000.0,0.0,-14.0,44.399998,-3.5999999,,400.0,1.0,0.0,0.0,0.0,0.0,2238.0,1.0,0.0,0.0,,0.0,0.0,547.0,1.0,0.0,0.0,0.0,12347.0,0.0,1.0,,0.0,0.0,75.0,0.0,1.0,301.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,7.6492352,1.0,1.0,11.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22472.0,,0.0,0.0,0.0,82.0,54.0,-382.819941,20.3999995,22.5999995,12.7,0.0,,0.0,0.0,60.0,60.0,12.0,23.35,0.0,0.0,0.0,57.0,12.9,0.0,0.0,,0.0,0.0,0.0,0.0,43.5,-1.3,20.799999,21.799999,20.0,23.4,43.200001,4.8000002,20.6,26.1
nan,,,-14.005947,45.084568,224600.0,547.0,12276.0,-10.3333333333333,3.33333333333333,-7.0,299.0,1.0,,1.0,516235.0,20.0,0.0,1.0,210000.0,0.0,-14.0,44.599998,-3.6999998,,400.0,1.0,0.0,0.0,0.0,0.0,2235.0,1.0,0.0,0.0,,0.0,0.0,547.0,0.0,0.0,0.0,0.0,12347.0,0.0,1.0,,0.0,0.0,53.0,0.0,1.0,299.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,7.2235241,1.0,1.0,12.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22393.0,,0.0,0.0,0.0,78.0,54.0,-386.820189,20.3999995,22.5999995,12.6,0.0,,0.0,0.0,60.0,60.0,12.0,23.35,0.0,0.0,0.0,60.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,43.700001,-1.1,20.799999,21.9,20.1,23.4,43.200001,4.5999999,20.6,26.1
nan,,,-13.358168,45.369259,225300.0,520.0,12263.0,-10.6666666666667,3.66666666666667,-7.0,283.0,1.0,,1.0,516265.0,29.0,0.0,1.0,210000.0,0.0,-14.0,44.799999,-3.8999999,,400.0,1.0,0.0,0.0,0.0,0.0,2226.0,1.0,0.0,0.0,,0.0,0.0,526.0,0.0,0.0,0.0,0.0,12260.0,0.0,1.0,,0.0,0.0,19.0,0.0,1.0,283.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,5.7341223,1.0,1.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22462.0,,0.0,0.0,0.0,69.0,51.0,-376.819701,20.3999995,22.5999995,11.0,0.0,,0.0,0.0,60.0,60.0,12.0,23.35,0.0,0.0,0.0,63.0,13.6,0.0,0.0,,0.0,0.0,0.0,0.0,43.700001,-1.0,20.9,21.9,20.200001,23.4,43.299999,4.5,20.6,26.1
nan,,,-12.882429,43.503059,224400.0,572.0,12172.0,-11.0,3.0,-7.0,310.0,1.0,,1.0,516295.0,20.0,0.0,1.0,210000.0,0.0,-15.0,45.099998,-3.9999998,,400.0,1.0,0.0,0.0,0.0,0.0,2230.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12162.0,0.0,1.0,,0.0,0.0,0.0,18.0,1.0,310.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,5.3099022,1.0,1.0,11.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22373.0,,0.0,0.0,0.0,67.0,55.0,-358.151977,20.3999995,22.5999995,10.3,0.0,,0.0,0.0,60.0,60.0,12.0,23.35,0.0,0.0,0.0,65.0,13.9,0.0,0.0,,0.0,0.0,0.0,0.0,43.799999,-1.1,20.9,21.9,20.200001,23.4,43.400002,4.3000002,20.6,26.1
nan,,,-12.414989,42.578037,224800.0,575.0,12233.0,-10.6666666666667,3.33333333333333,-7.0,313.0,1.0,,1.0,516325.0,24.0,0.0,1.0,210000.0,0.0,-14.0,45.299999,-4.0999999,,400.0,1.0,0.0,0.0,0.0,0.0,2219.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12162.0,0.0,0.0,,0.0,0.0,15.0,0.0,1.0,313.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,5.3099022,1.0,1.0,11.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22413.0,,0.0,0.0,0.0,67.0,55.0,-358.151977,20.3999995,22.5999995,10.3,1.0,,0.0,0.0,60.0,60.0,12.0,23.4000005,0.0,0.0,0.0,60.0,13.3,0.0,0.0,,0.0,0.0,0.0,0.0,44.0,-1.5,20.9,21.9,20.299999,23.5,43.5,5.1999998,20.700001,26.1
nan,,,-11.429185,43.753128,225700.0,529.0,12352.0,-11.0,3.66666666666667,-7.33333333333333,290.0,1.0,,1.0,516355.0,25.0,0.0,1.0,210000.0,0.0,-14.0,45.399998,-4.0999999,,400.0,1.0,0.0,0.0,0.0,0.0,2226.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12162.0,1.0,0.0,,0.0,0.0,67.0,0.0,1.0,290.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,5.7016678,1.0,1.0,11.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22502.0,,0.0,0.0,0.0,70.0,55.0,-376.152957,20.4499995,22.65,10.7,1.0,,0.0,0.0,60.0,60.0,12.0,23.4000005,0.0,0.0,0.0,58.0,12.6,0.0,0.0,,0.0,0.0,0.0,0.0,44.200001,-1.5,20.9,22.0,20.299999,23.5,43.599998,5.5999999,20.700001,26.1
nan,,,-12.337868,44.029877,225200.0,500.0,12320.0,-10.0,3.66666666666667,-6.66666666666667,274.0,1.0,,1.0,516385.0,16.0,0.0,1.0,210000.0,0.0,-13.0,45.299999,-4.2999997,,400.0,1.0,0.0,0.0,0.0,0.0,2238.0,1.0,0.0,0.0,,0.0,0.0,534.0,0.0,0.0,0.0,0.0,12200.0,1.0,0.0,,0.0,0.0,60.0,0.0,1.0,274.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,5.7016678,1.0,1.0,11.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22452.0,,0.0,0.0,0.0,70.0,55.0,-376.152957,20.4499995,22.65,10.7,0.0,,0.0,0.0,60.0,60.0,12.0,23.450001,0.0,0.0,0.0,60.0,12.5,0.0,0.0,,0.0,0.0,0.0,0.0,44.400002,-1.3,21.0,22.0,20.4,23.5,43.599998,5.8000002,20.700001,26.200001
nan,,,-14.273664,44.057491,225100.0,604.0,12284.0,-11.0,3.66666666666667,-7.0,330.0,1.0,,1.0,516416.0,13.0,0.0,1.0,210000.0,0.0,-14.0,45.099998,-4.5,,400.0,1.0,0.0,0.0,0.0,0.0,2232.0,1.0,0.0,0.0,,0.0,0.0,502.0,0.0,0.0,0.0,0.0,12334.0,1.0,0.0,,0.0,0.0,42.0,0.0,1.0,330.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,6.319263,1.0,1.0,11.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22442.0,,0.0,0.0,0.0,73.0,52.0,-378.153079,20.5500005,22.65,11.6,0.0,,0.0,0.0,60.0,60.0,12.0,23.450001,0.0,0.0,0.0,63.0,12.8,0.0,0.0,,0.0,0.0,0.0,0.0,44.200001,-1.2,21.0,22.0,20.4,23.6,43.799999,6.0,20.700001,26.200001
nan,,,-13.985463,44.305462,225200.0,562.0,12240.0,-10.0,3.33333333333333,-7.0,305.0,1.0,,1.0,516445.0,5.0,0.0,1.0,210000.0,0.0,-13.0,45.099998,-4.5999999,,400.0,1.0,0.0,0.0,0.0,0.0,2230.0,1.0,0.0,0.0,,0.0,0.0,502.0,0.0,0.0,0.0,0.0,12334.0,0.0,0.0,,0.0,0.0,8.0,0.0,1.0,305.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,6.8970041,1.0,1.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22452.0,,0.0,0.0,0.0,76.0,57.0,-386.820067,20.5500005,22.65,12.3,0.0,,0.0,0.0,60.0,60.0,12.0,23.450001,0.0,0.0,0.0,65.0,13.3,0.0,0.0,,0.0,0.0,0.0,0.0,44.599998,-1.0,21.0,22.0,20.5,23.6,44.0,6.1999998,20.700001,26.200001
nan,,,-11.955531,44.866817,224500.0,567.0,12185.0,-10.6666666666667,3.33333333333333,-6.66666666666667,308.0,1.0,,1.0,516475.0,23.0,0.0,1.0,210000.0,0.0,-14.0,45.099998,-4.6999998,,400.0,1.0,0.0,0.0,0.0,0.0,2229.0,1.0,0.0,0.0,,0.0,0.0,502.0,0.0,0.0,0.0,0.0,12334.0,0.0,1.0,,0.0,0.0,0.0,14.0,1.0,308.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,6.2736931,1.0,1.0,12.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22383.0,,0.0,0.0,0.0,72.0,57.0,-387.486819,20.5999995,22.7,11.7,0.0,,0.0,0.0,60.0,60.0,12.0,23.450001,0.0,0.0,0.0,66.0,13.3,0.0,0.0,,0.0,0.0,0.0,0.0,44.799999,-1.5,21.0,22.0,20.5,23.700001,44.099998,5.9000001,20.700001,26.200001
