Datetime;Breaks;HYGROMETRIE_CELLULE [I];HYGROMETRIE_CONSIGNE [I];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];POIDS_EAU_CELLULE [R];POIDS_EAU_CONSIGNE [R]
2025-02-25 19:38:21;;77.0;3.0;0.40000001;-0.0283333333333332;2.9850185;0.11244554
2025-02-25 19:38:51;;77.0;3.0;0.2;-0.0283333333333332;2.941745;0.11244554
2025-02-25 19:39:21;;76.0;3.0;0.1;-0.0283333333333332;2.8822162;0.11244554
2025-02-25 19:39:51;;76.0;3.0;0.0;-0.0283333333333332;2.861207;0.11244554
2025-02-25 19:40:21;;76.0;3.0;0.1;-0.0283333333333332;2.8822162;0.11244554
2025-02-25 19:40:51;;77.0;3.0;0.2;-0.0283333333333332;2.941745;0.11244554
2025-02-25 19:41:21;;78.0;3.0;0.30000001;-0.0283333333333332;3.0019825;0.11244554
2025-02-25 19:41:51;;79.0;3.0;0.30000001;-0.0283333333333332;3.0406573;0.11244554
2025-02-25 19:42:21;;78.0;3.0;0.2;-0.0283333333333332;2.9801328;0.11244554
2025-02-25 19:42:51;;77.0;3.0;0.0;-0.0283333333333332;2.89903;0.11244554
2025-02-25 19:43:21;;77.0;3.0;0.1;-0.0541666666666666;2.9203181;0.11244554
2025-02-25 19:43:51;;77.0;3.0;0.2;-0.0541666666666666;2.941745;0.11244554
2025-02-25 19:44:21;;78.0;3.0;0.30000001;-0.0541666666666666;3.0019825;0.11244554
2025-02-25 19:44:51;;79.0;3.0;0.40000001;-0.0541666666666666;3.0629332;0.11244554
2025-02-25 19:45:21;;79.0;3.0;0.2;-0.0541666666666666;3.0185246;0.11244554
2025-02-25 19:45:51;;77.0;3.0;0.0;-0.0541666666666666;2.89903;0.11244554
2025-02-25 19:46:21;;76.0;3.0;-0.1;-0.0541666666666666;2.8403349;0.11244554
2025-02-25 19:46:51;;76.0;3.0;0.0;-0.0541666666666666;2.861207;0.11244554
2025-02-25 19:47:21;;77.0;3.0;0.1;-0.0541666666666666;2.9203181;0.11244554
2025-02-25 19:47:51;;77.0;3.0;0.2;-0.0541666666666666;2.941745;0.11244554
2025-02-25 19:48:21;;79.0;3.0;0.40000001;-0.08;3.0629332;0.11244554
2025-02-25 19:48:51;;79.0;3.0;0.30000001;-0.08;3.0406573;0.11244554
2025-02-25 19:49:21;;78.0;3.0;-0.1;-0.08;2.915431;0.11244554
2025-02-25 19:49:51;;76.0;3.0;-0.2;-0.08;2.8195984;0.11244554
2025-02-25 19:50:21;;76.0;3.0;-0.1;-0.08;2.8403349;0.11244554
2025-02-25 19:50:51;;76.0;3.0;0.0;-0.08;2.861207;0.11244554
2025-02-25 19:51:21;;77.0;3.0;0.2;-0.08;2.941745;0.11244554
2025-02-25 19:51:51;;78.0;3.0;0.30000001;-0.08;3.0019825;0.11244554
2025-02-25 19:52:21;;79.0;3.0;0.40000001;-0.08;3.0629332;0.11244554
2025-02-25 19:52:51;;79.0;3.0;0.2;-0.08;3.0185246;0.11244554
2025-02-25 19:53:21;;79.0;3.0;0.0;-0.115833333333333;2.9746895;0.11162885
2025-02-25 19:53:51;;78.0;3.0;0.1;-0.115833333333333;2.9584243;0.11162885
2025-02-25 19:54:21;;78.0;3.0;0.1;-0.115833333333333;2.9584243;0.11162885
2025-02-25 19:54:51;;79.0;3.0;0.2;-0.115833333333333;3.0185246;0.11162885
2025-02-25 19:55:21;;80.0;3.0;0.30000001;-0.115833333333333;3.0793376;0.11162885
2025-02-25 19:55:51;;79.0;3.0;0.1;-0.115833333333333;2.996536;0.11162885
2025-02-25 19:56:21;;78.0;3.0;0.0;-0.115833333333333;2.9368577;0.11162885
2025-02-25 19:56:51;;77.0;3.0;-0.1;-0.115833333333333;2.8778803;0.11162885
2025-02-25 19:57:21;;77.0;3.0;0.0;-0.115833333333333;2.89903;0.11162885
2025-02-25 19:57:51;;78.0;3.0;0.1;-0.115833333333333;2.9584243;0.11162885
2025-02-25 19:58:21;;79.0;3.0;0.30000001;-0.151666666666666;3.0406573;0.11162885
2025-02-25 19:58:51;;80.0;3.0;0.30000001;-0.151666666666666;3.0793376;0.11162885
2025-02-25 19:59:21;;79.0;3.0;0.1;-0.151666666666666;2.996536;0.11162885
2025-02-25 19:59:51;;78.0;3.0;-0.2;-0.151666666666666;2.8941438;0.11162885
2025-02-25 20:00:21;;77.0;3.0;-0.2;-0.151666666666666;2.856869;0.11162885
2025-02-25 20:00:51;;77.0;3.0;-0.1;-0.151666666666666;2.8778803;0.11162885
2025-02-25 20:01:21;;78.0;3.0;0.0;-0.151666666666666;2.9368577;0.11162885
2025-02-25 20:01:51;;79.0;3.0;0.2;-0.151666666666666;3.0185246;0.11162885
2025-02-25 20:02:21;;80.0;3.0;0.30000001;-0.151666666666666;3.0793376;0.11162885
2025-02-25 20:02:51;;80.0;3.0;0.1;-0.151666666666666;3.0346518;0.11162885
2025-02-25 20:03:21;;79.0;3.0;-0.1;-0.1875;2.9529853;0.11162885
2025-02-25 20:03:22;;78.0;3.0;-0.1;-0.1875;2.9529853;0.11162885
2025-02-25 20:03:51;;78.0;3.0;-0.1;-0.1875;2.915431;0.11162885
2025-02-25 20:03:52;;78.0;3.0;-0.1;-0.1875;2.915431;0.11162885
2025-02-25 20:04:21;;78.0;3.0;-0.1;-0.1875;2.915431;0.11162885
2025-02-25 20:04:22;;79.0;3.0;0.0;-0.1875;2.915431;0.11162885
2025-02-25 20:04:51;;79.0;3.0;0.0;-0.1875;2.9746895;0.11162885
2025-02-25 20:04:52;;79.0;3.0;0.2;-0.1875;2.9746895;0.11162885
2025-02-25 20:05:21;;79.0;3.0;0.2;-0.1875;3.0185246;0.11162885
2025-02-25 20:05:22;;80.0;3.0;0.2;-0.1875;3.0185246;0.11162885
2025-02-25 20:05:51;;80.0;3.0;0.2;-0.1875;3.056922;0.11162885
2025-02-25 20:05:52;;81.0;3.0;0.2;-0.1875;3.056922;0.11162885
2025-02-25 20:06:21;;81.0;3.0;0.2;-0.1875;3.0953236;0.11162885
2025-02-25 20:06:22;;80.0;3.0;0.0;-0.1875;3.0953236;0.11162885
2025-02-25 20:06:52;;80.0;3.0;0.0;-0.1875;3.0125263;0.11162885
2025-02-25 20:07:22;;79.0;3.0;0.0;-0.1875;2.9746895;0.11162885
2025-02-25 20:07:52;;79.0;3.0;0.0;-0.1875;2.9746895;0.11162885
2025-02-25 20:08:22;;79.0;3.0;0.1;-0.223333333333333;2.996536;0.11081742
2025-02-25 20:08:52;;80.0;3.0;0.2;-0.223333333333333;3.056922;0.11081742
2025-02-25 20:09:22;;80.0;3.0;0.1;-0.223333333333333;3.0346518;0.11081742
2025-02-25 20:09:52;;80.0;3.0;0.0;-0.223333333333333;3.0125263;0.11081742
2025-02-25 20:10:22;;78.0;3.0;-0.2;-0.223333333333333;2.8941438;0.11081742
2025-02-25 20:10:52;;77.0;3.0;-0.2;-0.223333333333333;2.856869;0.11081742
2025-02-25 20:11:22;;78.0;3.0;-0.2;-0.223333333333333;2.8941438;0.11081742
2025-02-25 20:11:52;;78.0;3.0;0.0;-0.223333333333333;2.9368577;0.11081742
2025-02-25 20:12:22;;79.0;3.0;0.1;-0.223333333333333;2.996536;0.11081742
2025-02-25 20:12:52;;80.0;3.0;0.1;-0.223333333333333;3.0346518;0.11081742
2025-02-25 20:13:22;;80.0;3.0;0.0;-0.259166666666666;3.0125263;0.11081742
2025-02-25 20:13:52;;80.0;3.0;0.0;-0.259166666666666;3.0125263;0.11081742
2025-02-25 20:14:22;;80.0;3.0;0.1;-0.259166666666666;3.0346518;0.11081742
2025-02-25 20:14:52;;81.0;3.0;0.1;-0.259166666666666;3.0727723;0.11081742
2025-02-25 20:15:22;;81.0;3.0;0.2;-0.259166666666666;3.0953236;0.11081742
2025-02-25 20:15:52;;81.0;3.0;0.2;-0.259166666666666;3.0953236;0.11081742
2025-02-25 20:16:22;;81.0;3.0;-0.1;-0.259166666666666;3.0281088;0.11081742
2025-02-25 20:16:52;;79.0;3.0;-0.2;-0.259166666666666;2.9314229;0.11081742
2025-02-25 20:17:22;;78.0;3.0;-0.1;-0.259166666666666;2.915431;0.11081742
2025-02-25 20:17:52;;78.0;3.0;-0.1;-0.259166666666666;2.915431;0.11081742
2025-02-25 20:18:22;;79.0;3.0;0.0;-0.295;2.9746895;0.11081742
2025-02-25 20:18:52;;80.0;3.0;0.1;-0.295;3.0346518;0.11081742
2025-02-25 20:19:22;;80.0;3.0;0.1;-0.295;3.0346518;0.11081742
2025-02-25 20:19:52;;80.0;3.0;0.0;-0.295;3.0125263;0.11081742
2025-02-25 20:20:22;;79.0;3.0;-0.2;-0.295;2.9314229;0.11081742
2025-02-25 20:20:52;;78.0;3.0;-0.30000001;-0.295;2.8729951;0.11081742
2025-02-25 20:21:22;;78.0;3.0;-0.2;-0.295;2.8941438;0.11081742
2025-02-25 20:21:52;;78.0;3.0;-0.1;-0.295;2.915431;0.11081742
2025-02-25 20:22:22;;79.0;3.0;0.0;-0.295;2.9746895;0.11081742
2025-02-25 20:22:52;;80.0;3.0;0.1;-0.295;3.0346518;0.11081742
2025-02-25 20:23:22;;81.0;3.0;0.1;-0.330833333333333;3.0727723;0.11001123
2025-02-25 20:23:52;;81.0;3.0;0.0;-0.330833333333333;3.0503676;0.11001123
2025-02-25 20:24:22;;81.0;3.0;0.0;-0.330833333333333;3.0503676;0.11001123
2025-02-25 20:24:52;;81.0;3.0;-0.1;-0.330833333333333;3.0281088;0.11001123
2025-02-25 20:25:22;;80.0;3.0;-0.1;-0.330833333333333;2.9905448;0.11001123
2025-02-25 20:25:52;;80.0;3.0;-0.2;-0.330833333333333;2.9687068;0.11001123
2025-02-25 20:26:22;;80.0;3.0;-0.1;-0.330833333333333;2.9905448;0.11001123
2025-02-25 20:26:52;;80.0;3.0;0.0;-0.330833333333333;3.0125263;0.11001123
2025-02-25 20:27:22;;81.0;3.0;0.0;-0.330833333333333;3.0503676;0.11001123
2025-02-25 20:27:52;;81.0;3.0;0.0;-0.330833333333333;3.0503676;0.11001123
2025-02-25 20:28:22;;81.0;3.0;-0.2;-0.366666666666666;3.005995;0.11001123
2025-02-25 20:28:52;;80.0;3.0;-0.2;-0.366666666666666;2.9687068;0.11001123
2025-02-25 20:29:22;;80.0;3.0;-0.1;-0.366666666666666;2.9905448;0.11001123
2025-02-25 20:29:52;;80.0;3.0;0.0;-0.366666666666666;3.0125263;0.11001123
2025-02-25 20:30:22;;81.0;3.0;0.0;-0.366666666666666;3.0503676;0.11001123
2025-02-25 20:30:52;;81.0;3.0;-0.1;-0.366666666666666;3.0281088;0.11001123
2025-02-25 20:31:22;;81.0;3.0;-0.1;-0.366666666666666;3.0281088;0.11001123
2025-02-25 20:31:52;;81.0;3.0;-0.1;-0.366666666666666;3.0281088;0.11001123
2025-02-25 20:32:22;;81.0;3.0;-0.1;-0.366666666666666;3.0281088;0.11001123
2025-02-25 20:32:52;;81.0;3.0;-0.1;-0.366666666666666;3.0281088;0.11001123
2025-02-25 20:33:22;;81.0;3.0;0.0;-0.4025;3.0503676;0.10921022
2025-02-25 20:33:52;;81.0;3.0;0.0;-0.4025;3.0503676;0.10921022
2025-02-25 20:34:22;;81.0;3.0;-0.1;-0.4025;3.0281088;0.10921022
2025-02-25 20:34:52;;80.0;3.0;-0.40000001;-0.4025;2.925456;0.10921022
2025-02-25 20:35:22;;79.0;3.0;-0.40000001;-0.4025;2.8887181;0.10921022
2025-02-25 20:35:52;;78.0;3.0;-0.40000001;-0.4025;2.8519845;0.10921022
2025-02-25 20:36:22;;79.0;3.0;-0.30000001;-0.4025;2.9100008;0.10921022
2025-02-25 20:36:52;;80.0;3.0;-0.1;-0.4025;2.9905448;0.10921022
2025-02-25 20:37:22;;80.0;3.0;-0.1;-0.4025;2.9905448;0.10921022
2025-02-25 20:37:52;;81.0;3.0;-0.2;-0.4025;3.005995;0.10921022
2025-02-25 20:38:22;;80.0;3.0;-0.40000001;-0.438333333333333;2.925456;0.10921022
2025-02-25 20:38:52;;79.0;3.0;-0.40000001;-0.438333333333333;2.8887181;0.10921022
2025-02-25 20:39:22;;79.0;3.0;-0.30000001;-0.438333333333333;2.9100008;0.10921022
2025-02-25 20:39:52;;80.0;3.0;-0.2;-0.438333333333333;2.9687068;0.10921022
2025-02-25 20:40:22;;80.0;3.0;-0.1;-0.438333333333333;2.9905448;0.10921022
2025-02-25 20:40:52;;81.0;3.0;0.0;-0.438333333333333;3.0503676;0.10921022
2025-02-25 20:41:22;;81.0;3.0;-0.30000001;-0.438333333333333;2.9840252;0.10921022
2025-02-25 20:41:52;;80.0;3.0;-0.5;-0.438333333333333;2.904043;0.10921022
2025-02-25 20:42:22;;79.0;3.0;-0.5;-0.438333333333333;2.8675749;0.10921022
2025-02-25 20:42:52;;79.0;3.0;-0.40000001;-0.438333333333333;2.8887181;0.10921022
2025-02-25 20:43:22;;79.0;3.0;-0.30000001;-0.474166666666666;2.9100008;0.10921022
2025-02-25 20:43:52;;80.0;3.0;-0.2;-0.474166666666666;2.9687068;0.10921022
2025-02-25 20:44:22;;81.0;3.0;-0.1;-0.474166666666666;3.0281088;0.10921022
2025-02-25 20:44:52;;81.0;3.0;-0.2;-0.474166666666666;3.005995;0.10921022
2025-02-25 20:45:22;;81.0;3.0;-0.30000001;-0.474166666666666;2.9840252;0.10921022
2025-02-25 20:45:52;;81.0;3.0;-0.30000001;-0.474166666666666;2.9840252;0.10921022
2025-02-25 20:46:22;;81.0;3.0;-0.2;-0.474166666666666;3.005995;0.10921022
2025-02-25 20:46:52;;82.0;3.0;0.0;-0.474166666666666;3.0882132;0.10921022
2025-02-25 20:47:22;;82.0;3.0;-0.1;-0.474166666666666;3.0656769;0.10921022
2025-02-25 20:47:52;;82.0;3.0;-0.30000001;-0.474166666666666;3.021044;0.10921022
2025-02-25 20:48:23;;81.0;3.0;-0.5;-0.51;2.940515;0.10841442
2025-02-25 20:48:53;;81.0;3.0;-0.40000001;-0.51;2.9621987;0.10841442
2025-02-25 20:49:23;;81.0;3.0;-0.30000001;-0.51;2.9840252;0.10841442
