Datetime,Date,Time,TEMPERATURE_CONSIGNE [R],TEMPERATURE_REPRISE [R],HYGROMETRIE_CONSIGNE [I],HYGROMETRIE_CELLULE [R],CONSIGNE_CO2 [I],CO2 [R],IRRADIANCE [I],HUMIDIFICATEUR [I],V2V_DESHUMIDIF [B],DESHUMIDIFICATEUR [B],V2V_AIR_VICIE [B],V2V_EAU_PLUIE [I],V2V_CAPTAGE_CO2 [B],V2V_INJECTION_CO2 [B],V2V_ABSORBTION_CO2 [B],V2V_INJ_AIR_NEUF [B]
1676990948.0,0.0,0.0,28.53214285714285,28.39285696428572,44.32142857142857,45.82142857142857,415.0,412.5,10942.0,0.0,0.5,0.5,1.0,100.0,1.0,0.0,1.0,1.0
1676991248.0,0.0,0.0,28.5,28.344117088235294,44.0,45.35294117647059,415.0,413.7647058823529,10942.0,0.0,0.5,0.5294117647058824,1.0,100.0,1.0,0.1470588235294117,1.0,1.0
1676991548.0,0.0,0.0,28.372727272727275,28.203030484848487,45.27272727272727,46.75757575757576,415.0,414.6969696969697,10942.0,0.0,0.4242424242424242,0.4545454545454545,1.0,100.0,0.7575757575757576,0.6666666666666666,0.7575757575757576,1.0
1676991849.0,0.0,0.0,28.3,28.211764764705883,46.0,46.588235294117645,415.0,411.88235294117646,10942.0,0.0,0.5882352941176471,0.5882352941176471,1.0,100.0,1.0,0.0,1.0,1.0
1676992149.0,0.0,0.0,28.377272727272725,28.11363659090909,46.0,47.40909090909091,415.0,412.6818181818182,10942.0,0.0,0.5,0.5454545454545454,1.0,100.0,1.0,0.0,1.0,1.0
1676992449.0,0.0,0.0,28.4,28.11395360465116,46.0,47.41860465116279,415.0,414.6046511627907,10942.0,1.3953488372093024,0.5116279069767442,0.5813953488372093,1.0,100.0,0.8372093023255814,0.4418604651162791,0.8372093023255814,1.0
1676992749.0,0.0,0.0,28.21470588235294,28.020588147058824,46.61764705882353,47.794117647058826,415.0,413.7058823529412,10942.0,0.0,0.6470588235294118,0.6470588235294118,1.0,100.0,0.8529411764705882,0.3529411764705882,0.8529411764705882,1.0
1676993049.0,0.0,0.0,28.1,27.88421042105263,47.0,48.44736842105263,415.0,414.8684210526316,10942.0,0.0,0.5,0.5526315789473685,1.0,100.0,0.868421052631579,0.5,0.868421052631579,1.0
1676993349.0,0.0,0.0,28.03448275862069,27.931034344827587,47.6551724137931,48.55172413793103,415.0,413.2413793103448,10942.0,0.0,0.6206896551724138,0.6206896551724138,1.0,100.0,0.7931034482758621,0.4137931034482758,0.7931034482758621,1.0
1676993650.0,0.0,0.0,28.0,27.68500055,48.0,49.35,415.0,412.75,10942.0,0.0,0.55,0.6,1.0,100.0,1.0,0.0,1.0,1.0
