Breaks,Date,Time,BP_R134_EN_BARS [R],HP_R134_EN_BARS [R],BP_R134_EN_DEGRES [R],HP_R134_EN_DEGRES [R],CONSIGNE_BALLON_CHAUD [R],CONSIGNE_BALLON_FROID [R],TEMPERATURE_MEG_CHAUD [R],TEMPERATURE_MEG_FROID [R]
nan,,,0.35247999,10.135,-19.524408,34.608761,45.0,-6.0,45.200001,-3.2
nan,,,0.40239996,10.12,-18.652525,34.56147,45.0,-6.0,44.900002,-3.3
nan,,,0.37935996,10.075,-19.051498,34.419426,45.0,-6.0,44.599998,-3.3
nan,,,0.29679996,11.759999,-20.530458,39.563343,45.0,-6.0,44.599998,-3.5999999
nan,,,0.28527999,12.425,-20.74321,41.496933,45.0,-6.0,44.599998,-4.9000001
nan,,,0.41391999,12.785,-18.455196,42.521564,45.0,-6.0,44.700001,-5.5999999
nan,,,0.73456001,13.059999,-13.473429,43.293949,45.0,-6.0,44.799999,-5.9000001
nan,,,0.53295994,13.045,-16.496037,43.252048,45.0,-6.0,44.900002,-5.5
nan,,,0.88624001,18.865,-11.405138,57.657982,45.0,-6.0,45.0,-5.1999998
nan,,,0.89007998,17.529999,-11.354778,54.665165,45.0,-6.0,45.0,-5.6999998
nan,,,0.96879995,8.4849997,-10.342318,37.250694,45.0,-6.0,45.0,-5.8000002
nan,,,0.98799992,8.5249996,-10.100918,37.39917,45.0,-6.0,45.200001,-6.1999998
nan,,,1.0072,8.4549999,-9.8615932,37.139015,45.0,-6.0,45.299999,-6.4000001
nan,,,1.0167999,8.3850002,-9.7426968,36.877342,45.0,-6.0,45.099998,-6.5
nan,,,1.02832,8.3049994,-9.6006832,36.576424,45.0,-6.0,44.799999,-6.5999999
nan,,,1.0494399,8.2150002,-9.3421726,36.235519,45.0,-6.0,44.799999,-6.4000001
nan,,,1.07056,8.1399994,-9.0859985,35.949478,45.0,-6.0,44.799999,-6.3000002
nan,,,1.0935999,8.0749998,-8.8091412,35.700142,45.0,-6.0,44.799999,-6.3000002
nan,,,1.0935999,8.0749998,-8.8091412,35.700142,45.0,-6.0,44.799999,-6.1999998
nan,,,1.1070399,8.0,-8.6488705,35.410767,45.0,-6.0,44.799999,-6.1999998
nan,,,1.1070399,8.0,-8.6488705,35.410767,45.0,-6.0,44.900002,-6.0
nan,,,1.11472,7.9099998,-8.5576859,35.061134,45.0,-6.0,44.900002,-6.0
nan,,,1.11856,7.77,-8.5122013,34.512039,45.0,-6.0,45.0,-6.0
nan,,,1.1223999,7.6099997,-8.4667873,32.817856,45.0,-6.0,45.0,-6.0
nan,,,1.12816,7.4499998,-8.398798,32.2714,45.0,-6.0,45.0,-6.0
nan,,,1.132,7.3199997,-8.3535633,31.816324,45.0,-6.0,45.0,-6.0
nan,,,1.1416,7.1799998,-8.2407799,31.315035,45.0,-6.0,44.799999,-5.9000001
nan,,,1.1416,7.0699997,-8.2407799,30.912966,45.0,-6.0,44.599998,-5.9000001
nan,,,1.9287999,6.9549999,-0.11613655,30.484804,45.0,-6.0,44.299999,-5.8000002
nan,,,2.12848,6.8599997,1.6960564,30.12504,45.0,-6.0,44.200001,-5.6999998
nan,,,1.25488,12.52,-6.9414768,41.768818,45.0,-6.0,44.200001,-4.9000001
nan,,,0.96495998,12.54,-10.390848,41.82592,45.0,-6.0,44.299999,-4.9000001
nan,,,0.96495998,12.52,-10.390848,41.768818,45.0,-6.0,44.400002,-5.0
nan,,,0.96495998,12.585,-10.390848,41.954227,45.0,-6.0,44.5,-5.0
nan,,,0.82863998,12.525,-12.171976,41.7831,45.0,-6.0,44.599998,-5.0999999
nan,,,0.76143992,12.375,-13.095095,41.353401,45.0,-6.0,44.700001,-5.0999999
nan,,,0.72687995,12.344999,-13.582517,41.267136,45.0,-6.0,44.799999,-5.3000002
nan,,,0.65391994,12.415,-14.641709,41.46825,45.0,-6.0,44.900002,-5.4000001
nan,,,0.92079997,18.709999,-10.955214,57.319408,45.0,-6.0,45.0,-4.5999999
nan,,,0.96495998,10.885,-10.390848,36.936672,45.0,-6.0,44.900002,-4.6999998
nan,,,1.01296,11.84,-9.7901936,39.798794,45.0,-6.0,44.799999,-4.9000001
nan,,,0.81903994,17.559999,-12.301928,54.734348,45.0,-6.0,44.900002,-4.9000001
nan,,,0.88239992,18.215,-11.455593,56.222614,45.0,-6.0,45.0,-4.4000001
nan,,,0.91696,10.969999,-11.00484,37.196007,45.0,-6.0,44.900002,-4.4000001
nan,,,0.99567997,10.425,-10.00494,35.517376,45.0,-6.0,45.099998,-4.5
nan,,,1.05136,10.585,-9.3187847,36.01408,45.0,-6.0,45.099998,-4.4000001
nan,,,1.08784,10.474999,-8.8781052,35.672943,45.0,-6.0,45.200001,-4.4000001
nan,,,1.11856,10.349999,-8.5122013,35.283421,45.0,-6.0,45.200001,-4.3000002
nan,,,1.14352,10.24,-8.2182751,34.938984,45.0,-6.0,45.200001,-4.3000002
nan,,,1.14352,10.24,-8.2182751,34.938984,45.0,-6.0,45.200001,-4.3000002
nan,,,1.1665599,10.16,-7.949564,34.687515,45.0,-6.0,45.200001,-4.3000002
nan,,,1.1665599,10.16,-7.949564,34.687515,45.0,-6.0,45.200001,-4.1999998
nan,,,1.1838399,10.07,-7.74963,34.403622,45.0,-6.0,45.200001,-4.1999998
nan,,,1.1838399,10.07,-7.74963,34.403622,45.0,-6.0,45.099998,-4.1999998
nan,,,1.2011199,9.9499998,-7.5510387,34.023479,45.0,-6.0,45.099998,-4.1999998
nan,,,1.2011199,9.9499998,-7.5510387,34.023479,45.0,-6.0,45.0,-4.3000002
nan,,,1.2164799,9.8499994,-7.3756123,33.705269,45.0,-6.0,45.0,-4.3000002
nan,,,1.2164799,9.8499994,-7.3756123,33.705269,45.0,-6.0,44.700001,-4.3000002
nan,,,1.23184,9.7699995,-7.2012081,33.449768,45.0,-6.0,44.5,-4.1999998
nan,,,1.25104,9.6849995,-6.9846096,33.17738,45.0,-6.0,44.5,-4.0999999
nan,,,1.26832,9.6099997,-6.7909813,32.936256,45.0,-6.0,44.5,-3.8
nan,,,1.28176,9.5249996,-6.6412258,32.662098,45.0,-6.0,44.5,-3.7
nan,,,1.29328,9.4349995,-6.5134373,32.370777,45.0,-6.0,44.599998,-3.7
nan,,,1.3047999,9.3549995,-6.3861752,32.110931,45.0,-6.0,44.599998,-3.5999999
nan,,,1.3163199,9.2950001,-6.259428,31.915493,45.0,-6.0,44.599998,-3.5999999
nan,,,1.32592,9.2299995,-6.1541958,31.703232,45.0,-6.0,44.700001,-3.5
nan,,,1.3355199,9.1449995,-6.0493183,31.424816,45.0,-6.0,44.700001,-3.4000001
nan,,,1.3432,9.0999994,-5.9656658,39.480377,45.0,-6.0,44.700001,-3.3
nan,,,1.3489599,9.0599995,-5.9030704,39.338768,45.0,-6.0,44.5,-3.4000001
nan,,,1.35664,9.0149994,-5.8197994,39.178894,45.0,-6.0,44.299999,-3.4000001
nan,,,1.05712,11.78,-9.2487488,39.62228,45.0,-6.0,44.0,-3.4000001
nan,,,1.0033599,12.16,-9.9092941,40.732803,45.0,-6.0,43.900002,-3.2
nan,,,0.97071993,12.245,-10.318083,40.978821,45.0,-6.0,44.0,-3.0999999
nan,,,0.72303998,10.255,-13.637226,34.986046,44.0,-6.0,44.099998,-2.0
nan,,,0.87471998,11.355,-11.55678,38.359356,45.0,-6.0,44.200001,-1.4
nan,,,0.79983997,12.134999,-12.563721,40.660275,45.0,-6.0,44.299999,-1.9
nan,,,0.87471998,12.165,-11.55678,40.747299,45.0,-6.0,44.400002,-2.4000001
nan,,,0.74223995,12.275,-13.364786,41.065441,45.0,-6.0,44.5,-2.8
nan,,,0.79023993,12.34,-12.69558,41.25275,45.0,-6.0,44.599998,-3.0999999
nan,,,0.89583993,12.389999,-11.279413,41.396492,45.0,-6.0,44.599998,-3.2
nan,,,0.67119992,13.085,-14.38702,43.363728,45.0,-6.0,44.700001,-3.4000001
nan,,,0.68271995,13.049999,-14.218569,43.266018,45.0,-6.0,44.700001,-3.4000001
nan,,,0.68271995,13.049999,-14.218569,43.266018,45.0,-6.0,44.599998,-3.5999999
nan,,,0.72879994,13.099999,-13.555204,43.405556,45.0,-6.0,44.599998,-3.5999999
nan,,,0.72879994,13.099999,-13.555204,43.405556,45.0,-6.0,44.5,-3.8
nan,,,0.50031996,13.105,-17.019232,43.419495,45.0,-6.0,44.5,-3.8
nan,,,0.50031996,13.105,-17.019232,43.419495,45.0,-6.0,44.599998,-4.0
nan,,,0.57903993,13.33,-15.77437,44.043682,45.0,-6.0,44.599998,-4.0
nan,,,0.57903993,13.33,-15.77437,44.043682,45.0,-6.0,44.900002,-3.9000001
nan,,,0.49456,10.985,-17.112625,37.24168,45.0,-6.0,44.900002,-3.9000001
nan,,,0.49456,10.985,-17.112625,37.24168,45.0,-6.0,45.200001,-2.5
nan,,,0.62319994,11.715,-15.100589,39.430565,45.0,-6.0,45.200001,-2.5
nan,,,0.62319994,11.715,-15.100589,39.430565,45.0,-6.0,45.5,-1.2
nan,,,0.63855994,11.77,-14.870162,39.592815,45.0,-6.0,45.599998,-0.80000001
nan,,,0.54639995,11.719999,-16.283535,39.445328,45.0,-6.0,45.799999,-0.60000002
nan,,,0.65391994,11.7,-14.641709,39.38625,45.0,-6.0,45.799999,-0.30000001
nan,,,0.60975993,11.705,-15.303858,39.40102,45.0,-6.0,45.900002,-0.30000001
nan,,,0.61360002,11.679999,-15.245622,39.327118,45.0,-6.0,45.900002,-0.30000001
nan,,,0.59439993,11.724999,-15.538076,39.460087,45.0,-6.0,45.900002,-0.40000001
nan,,,0.60016,11.53,-15.450003,38.882076,45.0,-6.0,45.799999,-0.5
nan,,,0.58671999,11.415,-15.655961,38.538998,45.0,-6.0,45.5,-0.80000001
nan,,,0.44655997,11.46,-17.903742,38.673439,45.0,-6.0,45.400002,-0.69999999
nan,,,0.43119997,11.304999,-18.161858,38.209309,45.0,-6.0,45.299999,-0.5
nan,,,0.50031996,11.384999,-17.019232,38.44923,45.0,-6.0,45.299999,-0.5
nan,,,0.59247994,11.535,-15.5675,38.896954,45.0,-6.0,45.299999,-0.69999999
nan,,,0.51567996,11.44,-16.771753,38.613716,45.0,-6.0,45.400002,-0.60000002
nan,,,0.43695998,11.355,-18.064777,38.359356,45.0,-6.0,45.400002,-0.80000001
nan,,,0.42927998,11.335,-18.194296,38.299377,45.0,-6.0,45.400002,-0.89999998
nan,,,0.51759994,11.37,-16.740978,38.404308,45.0,-6.0,45.400002,-1.0
nan,,,0.51759994,11.37,-16.740978,38.404308,45.0,-6.0,45.400002,-1.1
nan,,,0.52528,11.37,-16.618229,38.404308,45.0,-6.0,45.299999,-1.4
nan,,,0.47535998,11.384999,-17.4263,38.44923,45.0,-6.0,45.099998,-1.4
nan,,,0.50031996,11.259999,-17.019232,38.074009,45.0,-6.0,44.900002,-1.2
nan,,,0.52336001,11.184999,-16.648863,37.847942,45.0,-6.0,44.700001,-1.3
nan,,,0.48111999,11.25,-17.331814,38.043911,45.0,-6.0,44.599998,-1.5
nan,,,0.40623999,11.09,-18.58659,37.560589,45.0,-6.0,44.700001,-1.4
nan,,,0.54639995,11.309999,-16.283535,38.224331,45.0,-6.0,44.700001,-1.4
nan,,,0.52144003,11.25,-16.679531,38.043911,45.0,-6.0,44.799999,-1.4
nan,,,0.45999998,11.285,-17.679886,38.149208,45.0,-6.0,44.700001,-1.4
nan,,,0.57135999,11.33,-15.893304,38.284374,45.0,-6.0,44.799999,-1.6
nan,,,0.412,11.255,-18.487986,38.058964,45.0,-6.0,44.799999,-1.8
nan,,,0.51183999,11.139999,-16.83341,37.711971,45.0,-6.0,44.799999,-1.8
nan,,,0.51183999,11.139999,-16.83341,37.711971,45.0,-6.0,44.599998,-1.9
nan,,,0.45231998,12.474999,-17.807577,41.640163,45.0,-6.0,44.599998,-1.9
nan,,,0.45231998,12.474999,-17.807577,41.640163,45.0,-6.0,44.5,-3.0999999
nan,,,0.45039999,12.599999,-17.839594,41.996941,45.0,-6.0,44.5,-3.0999999
nan,,,0.45039999,12.599999,-17.839594,41.996941,45.0,-6.0,44.299999,-4.4000001
nan,,,0.55599999,12.655,-16.132771,42.153332,45.0,-6.0,44.299999,-4.4000001
nan,,,0.55599999,12.655,-16.132771,42.153332,45.0,-6.0,44.200001,-5.0
nan,,,0.52528,12.695,-16.618229,42.26685,45.0,-6.0,44.200001,-5.0
nan,,,0.52528,12.695,-16.618229,42.26685,45.0,-6.0,44.299999,-5.4000001
nan,,,0.50031996,12.75,-17.019232,42.422619,45.0,-6.0,44.299999,-5.4000001
nan,,,0.50031996,12.75,-17.019232,42.422619,45.0,-6.0,44.5,-5.5999999
nan,,,0.45999998,12.75,-17.679886,42.422619,45.0,-6.0,44.5,-5.5999999
nan,,,0.45999998,12.92,-17.679886,42.901844,45.0,-6.0,44.599998,-5.8000002
nan,,,0.88432002,12.92,-11.430353,42.901844,45.0,-6.0,44.599998,-5.8000002
nan,,,0.88432002,13.605,-11.430353,44.798618,45.0,-6.0,44.799999,-5.4000001
nan,,,0.43887997,10.865,-18.032494,36.875515,45.0,-6.0,45.099998,-4.6999998
nan,,,0.52528,10.695,-16.618229,36.353683,45.0,-6.0,45.200001,-3.4000001
nan,,,0.53487992,11.395,-16.465576,38.479168,45.0,-6.0,45.400002,-3.5
nan,,,0.36783999,11.28,-19.253181,38.134174,45.0,-6.0,45.299999,-3.2
nan,,,0.30447996,11.07,-20.389515,37.49995,45.0,-6.0,45.200001,-2.9000001
nan,,,0.47151995,10.98,-17.489473,37.22646,45.0,-6.0,45.099998,-2.8
nan,,,0.48879999,10.995,-17.206345,37.27211,45.0,-6.0,45.0,-2.5
nan,,,0.38319999,10.875,-18.984598,36.906097,45.0,-6.0,45.099998,-2.8
nan,,,0.37167996,10.79,-19.185789,36.645744,45.0,-6.0,45.200001,-2.8
nan,,,0.47919995,10.895,-17.363272,36.967224,45.0,-6.0,45.200001,-2.5
nan,,,0.41775995,10.795,-18.389738,36.661083,45.0,-6.0,45.299999,-2.3
nan,,,0.43695998,10.825,-18.064777,36.753063,45.0,-6.0,45.299999,-2.3
nan,,,0.35823995,10.95,-19.422386,37.058826,45.0,-6.0,45.299999,-2.3
nan,,,0.45231998,10.88,-17.807577,36.921383,45.0,-6.0,45.299999,-2.5
nan,,,0.42543995,10.91,-18.259289,37.013039,45.0,-6.0,45.099998,-2.5
nan,,,0.32176,10.755,-20.074968,36.538277,45.0,-6.0,44.799999,-2.5
